document,year,model,original_length,original_words,summary_length,summary_words,compression_ratio,processing_time,summary,summary_word_count
2020 Portuguese Grand Prix - Decision - Car 33 - Turn 1 Incident with car 18.pdf,2020,LexRank,1933,321,677,119,0.3502327987584066,0.0071790218353271484,Fact Collision with car 18 in turn 1 Offence Alleged breach of Article 2 d) of Chapter IV Appendix L of the FIA International Sporting Code. Decision No further action Reason The Stewards heard from t...,119
2020 Portuguese Grand Prix - Decision - Car 33 - Turn 1 Incident with car 18.pdf,2020,TextRank,1933,321,902,149,0.4666321779617175,0.006946086883544922,"Decision No further action Reason The Stewards heard from the driver of Car 18 (Lance Stroll), the driver of car 33 (Max Verstappen), team representatives and have reviewed video and audio evidence. S...",149
2020 Portuguese Grand Prix - Decision - Car 33 - Turn 1 Incident with car 18.pdf,2020,Luhn,1933,321,973,159,0.5033626487325401,0.006646156311035156,"Decision No further action Reason The Stewards heard from the driver of Car 18 (Lance Stroll), the driver of car 33 (Max Verstappen), team representatives and have reviewed video and audio evidence. G...",159
2020 Portuguese Grand Prix - Decision - Car 33 - Turn 1 Incident with car 18.pdf,2020,LexRank-3sent,1933,321,437,77,0.22607346094154165,0.007561922073364258,Fact Collision with car 18 in turn 1 Offence Alleged breach of Article 2 d) of Chapter IV Appendix L of the FIA International Sporting Code. Decision No further action Reason The Stewards heard from t...,77
2020 Portuguese Grand Prix - Decision - Car 33 - Turn 1 Incident with car 18.pdf,2020,TextRank-7sent,1933,321,1212,204,0.6270046559751681,0.0071260929107666016,Fact Collision with car 18 in turn 1 Offence Alleged breach of Article 2 d) of Chapter IV Appendix L of the FIA International Sporting Code. Decision No further action Reason The Stewards heard from t...,204
2020 Austrian Grand Prix - Offence - Car 18 - Track limits turn10.pdf,2020,LexRank,1492,248,402,67,0.26943699731903487,0.006552934646606445,Fact Car 18 did not use the track at the exit of turn 10. Decision Deletion of lap time (1:10.078) in accordance with Article 12.3.1.e of the FIA International Sporting Code and Art 31.4 of the FIA Fo...,67
2020 Austrian Grand Prix - Offence - Car 18 - Track limits turn10.pdf,2020,TextRank,1492,248,790,126,0.5294906166219839,0.006781101226806641,Decision Deletion of lap time (1:10.078) in accordance with Article 12.3.1.e of the FIA International Sporting Code and Art 31.4 of the FIA Formula One Sporting Regulations. As no lap time has been ac...,126
2020 Austrian Grand Prix - Offence - Car 18 - Track limits turn10.pdf,2020,Luhn,1492,248,882,143,0.5911528150134048,0.006400108337402344,"Offence Breach of Appendix L, Ch IV, Article 2c of the FIA International Sporting Code and failure to follow the Race Directors Race Notes 21.2.a). Decision Deletion of lap time (1:10.078) in accordan...",143
2020 Austrian Grand Prix - Offence - Car 18 - Track limits turn10.pdf,2020,LexRank-3sent,1492,248,322,54,0.2158176943699732,0.00668787956237793,Fact Car 18 did not use the track at the exit of turn 10. Decision Deletion of lap time (1:10.078) in accordance with Article 12.3.1.e of the FIA International Sporting Code and Art 31.4 of the FIA Fo...,54
2020 Austrian Grand Prix - Offence - Car 18 - Track limits turn10.pdf,2020,TextRank-7sent,1492,248,996,165,0.6675603217158177,0.006601095199584961,"Fact Car 18 did not use the track at the exit of turn 10. Offence Breach of Appendix L, Ch IV, Article 2c of the FIA International Sporting Code and failure to follow the Race Directors Race Notes 21....",165
2020 British Grand Prix - Decision - Car 18 - Alleged unsafe release.pdf,2020,LexRank,1032,163,642,98,0.622093023255814,0.006117105484008789,Fact Alleged unsafe release of Car 18 from the garage Offence Alleged breach of Article 28.13 (a) of the FIA Formula One Sporting Regulations. Decision No Further Action Reason Having reviewed the vid...,98
2020 British Grand Prix - Decision - Car 18 - Alleged unsafe release.pdf,2020,TextRank,1032,163,642,98,0.622093023255814,0.006049156188964844,Fact Alleged unsafe release of Car 18 from the garage Offence Alleged breach of Article 28.13 (a) of the FIA Formula One Sporting Regulations. Decision No Further Action Reason Having reviewed the vid...,98
2020 British Grand Prix - Decision - Car 18 - Alleged unsafe release.pdf,2020,Luhn,1032,163,642,98,0.622093023255814,0.006422996520996094,Fact Alleged unsafe release of Car 18 from the garage Offence Alleged breach of Article 28.13 (a) of the FIA Formula One Sporting Regulations. Decision No Further Action Reason Having reviewed the vid...,98
2020 British Grand Prix - Decision - Car 18 - Alleged unsafe release.pdf,2020,LexRank-3sent,1032,163,586,90,0.5678294573643411,0.006540060043334961,Fact Alleged unsafe release of Car 18 from the garage Offence Alleged breach of Article 28.13 (a) of the FIA Formula One Sporting Regulations. Decision No Further Action Reason Having reviewed the vid...,90
2020 British Grand Prix - Decision - Car 18 - Alleged unsafe release.pdf,2020,TextRank-7sent,1032,163,642,98,0.622093023255814,0.006615877151489258,Fact Alleged unsafe release of Car 18 from the garage Offence Alleged breach of Article 28.13 (a) of the FIA Formula One Sporting Regulations. Decision No Further Action Reason Having reviewed the vid...,98
2020 British Grand Prix - Decision - Car 16 - Alleged unsafe release.pdf,2020,LexRank,1019,157,642,98,0.6300294406280668,0.006525993347167969,Fact Alleged unsafe release of Car 16 from the garage Offence Alleged Breach of Article 28.13 (a) of the FIA Formula One Sporting Regulations. Decision No Further Action Reason Having reviewed the vid...,98
2020 British Grand Prix - Decision - Car 16 - Alleged unsafe release.pdf,2020,TextRank,1019,157,642,98,0.6300294406280668,0.006246089935302734,Fact Alleged unsafe release of Car 16 from the garage Offence Alleged Breach of Article 28.13 (a) of the FIA Formula One Sporting Regulations. Decision No Further Action Reason Having reviewed the vid...,98
2020 British Grand Prix - Decision - Car 16 - Alleged unsafe release.pdf,2020,Luhn,1019,157,642,98,0.6300294406280668,0.00598597526550293,Fact Alleged unsafe release of Car 16 from the garage Offence Alleged Breach of Article 28.13 (a) of the FIA Formula One Sporting Regulations. Decision No Further Action Reason Having reviewed the vid...,98
2020 British Grand Prix - Decision - Car 16 - Alleged unsafe release.pdf,2020,LexRank-3sent,1019,157,586,90,0.5750736015701668,0.00643610954284668,Fact Alleged unsafe release of Car 16 from the garage Offence Alleged Breach of Article 28.13 (a) of the FIA Formula One Sporting Regulations. Decision No Further Action Reason Having reviewed the vid...,90
2020 British Grand Prix - Decision - Car 16 - Alleged unsafe release.pdf,2020,TextRank-7sent,1019,157,642,98,0.6300294406280668,0.006696224212646484,Fact Alleged unsafe release of Car 16 from the garage Offence Alleged Breach of Article 28.13 (a) of the FIA Formula One Sporting Regulations. Decision No Further Action Reason Having reviewed the vid...,98
2020 Turkish Grand Prix - Decision - Car 33 - Alleged crossing the line at pit exit..pdf,2020,LexRank,1242,201,702,112,0.5652173913043478,0.00665593147277832,"Fact Alleged crossing the line at pit exit. Decision No further action. Reason Having reviewed video evidence from a wide variety of cameras and angles at the highest resolutions available, the Stewar...",112
2020 Turkish Grand Prix - Decision - Car 33 - Alleged crossing the line at pit exit..pdf,2020,TextRank,1242,201,804,129,0.6473429951690821,0.0067119598388671875,Offence Alleged Breach of Article 5 Chapter IV of Appendix L of the FIA International Sporting Code and Article 18.1 of the Race Directors Notes. Decision No further action. Reason Having reviewed vid...,129
2020 Turkish Grand Prix - Decision - Car 33 - Alleged crossing the line at pit exit..pdf,2020,Luhn,1242,201,796,129,0.6409017713365539,0.005995988845825195,Fact Alleged crossing the line at pit exit. Offence Alleged Breach of Article 5 Chapter IV of Appendix L of the FIA International Sporting Code and Article 18.1 of the Race Directors Notes. Decision N...,129
2020 Turkish Grand Prix - Decision - Car 33 - Alleged crossing the line at pit exit..pdf,2020,LexRank-3sent,1242,201,606,96,0.48792270531400966,0.006437063217163086,"Decision No further action. Reason Having reviewed video evidence from a wide variety of cameras and angles at the highest resolutions available, the Stewards are unable to find conclusive evidence th...",96
2020 Turkish Grand Prix - Decision - Car 33 - Alleged crossing the line at pit exit..pdf,2020,TextRank-7sent,1242,201,848,137,0.6827697262479872,0.006335020065307617,Fact Alleged crossing the line at pit exit. Offence Alleged Breach of Article 5 Chapter IV of Appendix L of the FIA International Sporting Code and Article 18.1 of the Race Directors Notes. Decision N...,137
2020 Turkish Grand Prix - Decision - Car 18 - Alleged failure to respect yellow flags at turn 7..pdf,2020,LexRank,1512,248,814,134,0.5383597883597884,0.0072782039642333984,"Offence Alleged breach of Appendix H, Art. 2.5.5.1.b) and non-compliance with Race Directors Event Notes 7.2 Decision No further action Reason The Stewards heard from the driver of Car 18 (Lance Strol...",134
2020 Turkish Grand Prix - Decision - Car 18 - Alleged failure to respect yellow flags at turn 7..pdf,2020,TextRank,1512,248,830,134,0.548941798941799,0.006774187088012695,"2.5.5.1.b) and non-compliance with Race Directors Event Notes 7.2 Decision No further action Reason The Stewards heard from the driver of Car 18 (Lance Stroll), the team representative and reviewed vi...",134
2020 Turkish Grand Prix - Decision - Car 18 - Alleged failure to respect yellow flags at turn 7..pdf,2020,Luhn,1512,248,897,148,0.5932539682539683,0.0062029361724853516,"2.5.5.1.b) and non-compliance with Race Directors Event Notes 7.2 Decision No further action Reason The Stewards heard from the driver of Car 18 (Lance Stroll), the team representative and reviewed vi...",148
2020 Turkish Grand Prix - Decision - Car 18 - Alleged failure to respect yellow flags at turn 7..pdf,2020,LexRank-3sent,1512,248,433,71,0.2863756613756614,0.006415843963623047,"Offence Alleged breach of Appendix H, Art. 2.5.5.1.b) and non-compliance with Race Directors Event Notes 7.2 Decision No further action Reason The Stewards heard from the driver of Car 18 (Lance Strol...",71
2020 Turkish Grand Prix - Decision - Car 18 - Alleged failure to respect yellow flags at turn 7..pdf,2020,TextRank-7sent,1512,248,1005,166,0.6646825396825397,0.006512165069580078,Fact Alleged failure to respect yellow flags at turn 7. 2.5.5.1.b) and non-compliance with Race Directors Event Notes 7.2 Decision No further action Reason The Stewards heard from the driver of Car 18...,166
2020 Styrian Grand Prix - Offence - Car 16 - impeding car 26.pdf,2020,LexRank,2068,350,824,145,0.3984526112185687,0.007395744323730469,Offence Breach of Article 31.5 of the FIA Formula One Sporting Regulations. The driver of Car 16 had been adequately informed by the team after turn 7 that Car 26 would be approaching and that he shou...,145
2020 Styrian Grand Prix - Offence - Car 16 - impeding car 26.pdf,2020,TextRank,2068,350,1095,185,0.5294970986460348,0.007725954055786133,"(1 penalty point awarded, 3 points in total for the 12 month period) Reason The Stewards heard from the driver of Car 16 (Charles Leclerc) and the team representative and have reviewed video evidence....",185
2020 Styrian Grand Prix - Offence - Car 16 - impeding car 26.pdf,2020,Luhn,2068,350,1095,185,0.5294970986460348,0.0065877437591552734,"(1 penalty point awarded, 3 points in total for the 12 month period) Reason The Stewards heard from the driver of Car 16 (Charles Leclerc) and the team representative and have reviewed video evidence....",185
2020 Styrian Grand Prix - Offence - Car 16 - impeding car 26.pdf,2020,LexRank-3sent,2068,350,425,81,0.20551257253384914,0.0072269439697265625,"The driver of Car 16 had been adequately informed by the team after turn 7 that Car 26 would be approaching and that he should watch out for traffic. Furthermore, the driver of Car 16 stated that it w...",81
2020 Styrian Grand Prix - Offence - Car 16 - impeding car 26.pdf,2020,TextRank-7sent,2068,350,1410,243,0.6818181818181818,0.007108926773071289,"(1 penalty point awarded, 3 points in total for the 12 month period) Reason The Stewards heard from the driver of Car 16 (Charles Leclerc) and the team representative and have reviewed video evidence....",243
2020 Bahrain Grand Prix - Offence - Car 7 - Pit lane speeding.pdf,2020,LexRank,977,162,587,99,0.6008188331627431,0.005944967269897461,Fact Pit Lane Speeding 81.3 kmh Offence Breach of Article 22.10 of the FIA Formula One Sporting Regulations. Decision The competitor (Alfa Romeo Racing ORLEN) is fined 200 Reason Car 7 exceeded the pi...,99
2020 Bahrain Grand Prix - Offence - Car 7 - Pit lane speeding.pdf,2020,TextRank,977,162,587,99,0.6008188331627431,0.006425142288208008,Fact Pit Lane Speeding 81.3 kmh Offence Breach of Article 22.10 of the FIA Formula One Sporting Regulations. Decision The competitor (Alfa Romeo Racing ORLEN) is fined 200 Reason Car 7 exceeded the pi...,99
2020 Bahrain Grand Prix - Offence - Car 7 - Pit lane speeding.pdf,2020,Luhn,977,162,587,99,0.6008188331627431,0.005903720855712891,Fact Pit Lane Speeding 81.3 kmh Offence Breach of Article 22.10 of the FIA Formula One Sporting Regulations. Decision The competitor (Alfa Romeo Racing ORLEN) is fined 200 Reason Car 7 exceeded the pi...,99
2020 Bahrain Grand Prix - Offence - Car 7 - Pit lane speeding.pdf,2020,LexRank-3sent,977,162,530,90,0.5424769703172978,0.00601506233215332,Fact Pit Lane Speeding 81.3 kmh Offence Breach of Article 22.10 of the FIA Formula One Sporting Regulations. Decision The competitor (Alfa Romeo Racing ORLEN) is fined 200 Reason Car 7 exceeded the pi...,90
2020 Bahrain Grand Prix - Offence - Car 7 - Pit lane speeding.pdf,2020,TextRank-7sent,977,162,587,99,0.6008188331627431,0.0060901641845703125,Fact Pit Lane Speeding 81.3 kmh Offence Breach of Article 22.10 of the FIA Formula One Sporting Regulations. Decision The competitor (Alfa Romeo Racing ORLEN) is fined 200 Reason Car 7 exceeded the pi...,99
2020 Styrian Grand Prix - Decision - Car 7 - red flag.pdf,2020,LexRank,1520,250,550,92,0.3618421052631579,0.007066249847412109,"Decision No further action. The red flag came at the moment the driver of Car 7 was approaching the entry of Turn 9 and the driver was fully committed to the turn. Taking this into account, Stewards d...",92
2020 Styrian Grand Prix - Decision - Car 7 - red flag.pdf,2020,TextRank,1520,250,722,125,0.475,0.00688481330871582,Reason The Stewards heard from the driver of Car 7 (Kimi Raikkonen) and the team representative and have reviewed video evidence. The red flag came at the moment the driver of Car 7 was approaching th...,125
2020 Styrian Grand Prix - Decision - Car 7 - red flag.pdf,2020,Luhn,1520,250,673,112,0.44276315789473686,0.0064580440521240234,Fact Alleged non-respect of red flag regulations at 16:04:12. Offence Alleged breach of Article 31.6 of the FIA Formula One Sporting Regulations. Reason The Stewards heard from the driver of Car 7 (Ki...,112
2020 Styrian Grand Prix - Decision - Car 7 - red flag.pdf,2020,LexRank-3sent,1520,250,425,73,0.27960526315789475,0.0063779354095458984,Decision No further action. The red flag came at the moment the driver of Car 7 was approaching the entry of Turn 9 and the driver was fully committed to the turn. Competitors are reminded that they h...,73
2020 Styrian Grand Prix - Decision - Car 7 - red flag.pdf,2020,TextRank-7sent,1520,250,904,153,0.5947368421052631,0.006585121154785156,Offence Alleged breach of Article 31.6 of the FIA Formula One Sporting Regulations. Reason The Stewards heard from the driver of Car 7 (Kimi Raikkonen) and the team representative and have reviewed vi...,153
2020 Italian Grand Prix - Parts and parameters been replaced or changed during the Parc Fermé.pdf,2020,LexRank,1260,211,1259,211,0.9992063492063492,0.006262779235839844,From The FIA Formula One Technical Delegate To The StewardsDocument 41 Date 06 September 2020 Time 14:05 2020 ITALIAN GRAND PRIX 3 - 6 September 2020 Technical Delegates Report The following parts and...,211
2020 Italian Grand Prix - Parts and parameters been replaced or changed during the Parc Fermé.pdf,2020,TextRank,1260,211,1259,211,0.9992063492063492,0.006391048431396484,From The FIA Formula One Technical Delegate To The StewardsDocument 41 Date 06 September 2020 Time 14:05 2020 ITALIAN GRAND PRIX 3 - 6 September 2020 Technical Delegates Report The following parts and...,211
2020 Italian Grand Prix - Parts and parameters been replaced or changed during the Parc Fermé.pdf,2020,Luhn,1260,211,1259,211,0.9992063492063492,0.006208181381225586,From The FIA Formula One Technical Delegate To The StewardsDocument 41 Date 06 September 2020 Time 14:05 2020 ITALIAN GRAND PRIX 3 - 6 September 2020 Technical Delegates Report The following parts and...,211
2020 Italian Grand Prix - Parts and parameters been replaced or changed during the Parc Fermé.pdf,2020,LexRank-3sent,1260,211,1259,211,0.9992063492063492,0.006165742874145508,From The FIA Formula One Technical Delegate To The StewardsDocument 41 Date 06 September 2020 Time 14:05 2020 ITALIAN GRAND PRIX 3 - 6 September 2020 Technical Delegates Report The following parts and...,211
2020 Italian Grand Prix - Parts and parameters been replaced or changed during the Parc Fermé.pdf,2020,TextRank-7sent,1260,211,1259,211,0.9992063492063492,0.006387948989868164,From The FIA Formula One Technical Delegate To The StewardsDocument 41 Date 06 September 2020 Time 14:05 2020 ITALIAN GRAND PRIX 3 - 6 September 2020 Technical Delegates Report The following parts and...,211
2020 Russian Grand Prix - Offence - Car 7 - Pit lane speeding.pdf,2020,LexRank,980,161,534,90,0.5448979591836735,0.006327152252197266,Fact Pit Lane Speeding 70.3 kmh. Offence Breach of Article 22.10 of the FIA Formula One Sporting Regulations. Decision The competitor (Alfa Romeo Racing ORLEN) is fined 1000. Reason Car 7 exceeded the...,90
2020 Russian Grand Prix - Offence - Car 7 - Pit lane speeding.pdf,2020,TextRank,980,161,555,92,0.5663265306122449,0.006687164306640625,Offence Breach of Article 22.10 of the FIA Formula One Sporting Regulations. Decision The competitor (Alfa Romeo Racing ORLEN) is fined 1000. Reason Car 7 exceeded the pit lane speed limit which is se...,92
2020 Russian Grand Prix - Offence - Car 7 - Pit lane speeding.pdf,2020,Luhn,980,161,534,90,0.5448979591836735,0.006339073181152344,Fact Pit Lane Speeding 70.3 kmh. Offence Breach of Article 22.10 of the FIA Formula One Sporting Regulations. Decision The competitor (Alfa Romeo Racing ORLEN) is fined 1000. Reason Car 7 exceeded the...,90
2020 Russian Grand Prix - Offence - Car 7 - Pit lane speeding.pdf,2020,LexRank-3sent,980,161,174,28,0.17755102040816326,0.006056070327758789,Fact Pit Lane Speeding 70.3 kmh. Offence Breach of Article 22.10 of the FIA Formula One Sporting Regulations. Decision The competitor (Alfa Romeo Racing ORLEN) is fined 1000....,28
2020 Russian Grand Prix - Offence - Car 7 - Pit lane speeding.pdf,2020,TextRank-7sent,980,161,588,98,0.6,0.00625300407409668,Fact Pit Lane Speeding 70.3 kmh. Offence Breach of Article 22.10 of the FIA Formula One Sporting Regulations. Decision The competitor (Alfa Romeo Racing ORLEN) is fined 1000. Reason Car 7 exceeded the...,98
2020 Austrian Grand Prix - Offence - Alfa Romeo - release of a car in an unsafe condition.pdf,2020,LexRank,1675,279,625,105,0.373134328358209,0.0069429874420166016,"Decision The competitor is fined 5,000. As a consequence the right back wheel went off when the car was back in the race. The Stewards accept however that neither the team, nor the driver had the oppo...",105
2020 Austrian Grand Prix - Offence - Alfa Romeo - release of a car in an unsafe condition.pdf,2020,TextRank,1675,279,885,147,0.5283582089552239,0.006802797317504883,"Reason The Stewards heard from the team representative and reviewed video and technical evidence provided by the FIA Technical Delegate, as well as car telemetry provided by the team. Having examined ...",147
2020 Austrian Grand Prix - Offence - Alfa Romeo - release of a car in an unsafe condition.pdf,2020,Luhn,1675,279,911,156,0.5438805970149254,0.006419181823730469,"Reason The Stewards heard from the team representative and reviewed video and technical evidence provided by the FIA Technical Delegate, as well as car telemetry provided by the team. Having examined ...",156
2020 Austrian Grand Prix - Offence - Alfa Romeo - release of a car in an unsafe condition.pdf,2020,LexRank-3sent,1675,279,513,88,0.3062686567164179,0.006871223449707031,"As a consequence the right back wheel went off when the car was back in the race. The Stewards accept however that neither the team, nor the driver had the opportunity to realise that the car was in u...",88
2020 Austrian Grand Prix - Offence - Alfa Romeo - release of a car in an unsafe condition.pdf,2020,TextRank-7sent,1675,279,1043,176,0.6226865671641791,0.006771087646484375,Offence Breach of Article 28.13 c) of FIA Formula One Sporting Regulations. Reason The Stewards heard from the team representative and reviewed video and technical evidence provided by the FIA Technic...,176
2020 Styrian Grand Prix - Decision - P3.pdf,2020,LexRank,476,78,476,78,1.0,0.006064891815185547,"From The Stewards To All Teams, All OfficialsDocument 20 Date 11 July 2020 Time 12:43 2020 STYRIAN GRAND PRIX 9 - 12 July 2020 After consultation and recommendation of the FIA Formula One Safety Deleg...",78
2020 Styrian Grand Prix - Decision - P3.pdf,2020,TextRank,476,78,476,78,1.0,0.006315946578979492,"From The Stewards To All Teams, All OfficialsDocument 20 Date 11 July 2020 Time 12:43 2020 STYRIAN GRAND PRIX 9 - 12 July 2020 After consultation and recommendation of the FIA Formula One Safety Deleg...",78
2020 Styrian Grand Prix - Decision - P3.pdf,2020,Luhn,476,78,476,78,1.0,0.006033897399902344,"From The Stewards To All Teams, All OfficialsDocument 20 Date 11 July 2020 Time 12:43 2020 STYRIAN GRAND PRIX 9 - 12 July 2020 After consultation and recommendation of the FIA Formula One Safety Deleg...",78
2020 Styrian Grand Prix - Decision - P3.pdf,2020,LexRank-3sent,476,78,476,78,1.0,0.005998849868774414,"From The Stewards To All Teams, All OfficialsDocument 20 Date 11 July 2020 Time 12:43 2020 STYRIAN GRAND PRIX 9 - 12 July 2020 After consultation and recommendation of the FIA Formula One Safety Deleg...",78
2020 Styrian Grand Prix - Decision - P3.pdf,2020,TextRank-7sent,476,78,476,78,1.0,0.00597691535949707,"From The Stewards To All Teams, All OfficialsDocument 20 Date 11 July 2020 Time 12:43 2020 STYRIAN GRAND PRIX 9 - 12 July 2020 After consultation and recommendation of the FIA Formula One Safety Deleg...",78
2020 Abu Dhabi Grand Prix - Corrected Decision - Car 55 - Alleged driving unnecessarily slowly in the pit lane..pdf,2020,LexRank,2792,504,751,143,0.2689828080229226,0.008739948272705078,"Fact Alleged driving unnecessarily slowly in the pit lane. Offence Alleged breach of Articles 40.3 27.4 of the FIA Formula One Sporting Regulations. Therefore, we are not of the view that this action ...",143
2020 Abu Dhabi Grand Prix - Corrected Decision - Car 55 - Alleged driving unnecessarily slowly in the pit lane..pdf,2020,TextRank,2792,504,1123,204,0.40222063037249284,0.008352994918823242,"Therefore, we are not of the view that this action in any way resulted in the Team avoiding a double stack situation as Car 4 was well clear of the Pit Stop at this time. We also accept the explanatio...",204
2020 Abu Dhabi Grand Prix - Corrected Decision - Car 55 - Alleged driving unnecessarily slowly in the pit lane..pdf,2020,Luhn,2792,504,1095,204,0.3921919770773639,0.006948232650756836,"On approaching the Start of the Pit Lane Car 55 accelerated then as per normal practice, braked briefly to less than 80 kmh just prior to the line and then accelerated up to 80. Therefore, we are not ...",204
2020 Abu Dhabi Grand Prix - Corrected Decision - Car 55 - Alleged driving unnecessarily slowly in the pit lane..pdf,2020,LexRank-3sent,2792,504,602,120,0.21561604584527222,0.008579730987548828,"Therefore, we are not of the view that this action in any way resulted in the Team avoiding a double stack situation as Car 4 was well clear of the Pit Stop at this time. We also accept the explanatio...",120
2020 Abu Dhabi Grand Prix - Corrected Decision - Car 55 - Alleged driving unnecessarily slowly in the pit lane..pdf,2020,TextRank-7sent,2792,504,1494,268,0.5351002865329513,0.008437871932983398,"Reason The Stewards viewed video evidence, radio transmissions and telemetry data, heard from the driver of car 55 (Carlos Sainz), the driver of car 18 (Lance Stroll) and team representatives. On appr...",268
2020 British Grand Prix - Offence - Car 99 - Failure to slow under the safety car .pdf,2020,LexRank,1056,171,668,108,0.6325757575757576,0.006079912185668945,"Fact Failure to slow under the safety car Offence Breach of Article 39.7 of the FIA Formula One Sporting Regulations Decision 5 Second Time Penalty (1 penalty point imposed, total of 2 points in the 1...",108
2020 British Grand Prix - Offence - Car 99 - Failure to slow under the safety car .pdf,2020,TextRank,1056,171,668,108,0.6325757575757576,0.00590205192565918,"Fact Failure to slow under the safety car Offence Breach of Article 39.7 of the FIA Formula One Sporting Regulations Decision 5 Second Time Penalty (1 penalty point imposed, total of 2 points in the 1...",108
2020 British Grand Prix - Offence - Car 99 - Failure to slow under the safety car .pdf,2020,Luhn,1056,171,668,108,0.6325757575757576,0.005837202072143555,"Fact Failure to slow under the safety car Offence Breach of Article 39.7 of the FIA Formula One Sporting Regulations Decision 5 Second Time Penalty (1 penalty point imposed, total of 2 points in the 1...",108
2020 British Grand Prix - Offence - Car 99 - Failure to slow under the safety car .pdf,2020,LexRank-3sent,1056,171,668,108,0.6325757575757576,0.006066799163818359,"Fact Failure to slow under the safety car Offence Breach of Article 39.7 of the FIA Formula One Sporting Regulations Decision 5 Second Time Penalty (1 penalty point imposed, total of 2 points in the 1...",108
2020 British Grand Prix - Offence - Car 99 - Failure to slow under the safety car .pdf,2020,TextRank-7sent,1056,171,668,108,0.6325757575757576,0.006123065948486328,"Fact Failure to slow under the safety car Offence Breach of Article 39.7 of the FIA Formula One Sporting Regulations Decision 5 Second Time Penalty (1 penalty point imposed, total of 2 points in the 1...",108
2020 Russian Grand Prix - Offence - Car 7 - Pit lane speeding (2nd).pdf,2020,LexRank,977,161,585,98,0.5987717502558854,0.0062961578369140625,Fact Pit Lane Speeding 72.0 kmh Offence Breach of Article 22.10 of the FIA Formula One Sporting Regulations. Decision The competitor (Alfa Romeo Racing ORLEN) is fined 1000. Reason Car 7 exceeded the ...,98
